Entity,branch location,rental_duration_days,location_type,Vehicle_Make_Model,Vehicle_Group,price_SAR,is_loyalty_available
Budget Saudi,"Umluj Red Sea Gl, SA",1_day,Downtown,hyundai accent,Basic Seedan,194.06,No
Budget Saudi,"Yanbu Ho Counter Yjro, SA",1_day,Downtown,hyundai accent,Basic Seedan,194.06,No
Budget Saudi,"Yanbu, SA",1_day,Downtown,hyundai accent,Basic Seedan,194.06,No
Budget Saudi,"Yanbu SA Downtown, SA",1_day,Downtown,hyundai accent,Basic Seedan,194.06,No
Budget Saudi,"Jeddah Tahliya, SA",1_day,Downtown,hyundai accent,Basic Seedan,194.06,No
Budget Saudi,"Abha Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Abha SA Airport, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Muhayil Aseer, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Baha Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Baljurashi, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Hasa Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Jouf Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jubail SA Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jubail Medinah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Thuqbah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"King F Causeway, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Khobar, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Dammam - At Your Door Service, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Dammam Dt, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Dammam Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Rho Dam Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Qatif, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Dammam King Fahd International, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Wajh King Saud Road, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Opposite Kudu Res, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Arar Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Bisha Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Bisha Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Buraida Gassim Regional Airpor, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Manar Dammam, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Hafar Al Batin, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Hail Intl Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Hail, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Al Haramain Train Station, SA",1_day,Train,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah - At Your Door Service, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah H Bridge, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah Hamdania, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Hilton Galleria Jeddah Dt, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Obhur Distt, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah - Al Hamra Pso, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jeddah Sa-Dtn, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Salamah Mrot, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Sultan St, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Makkah SA Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jizan King Abdullah Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Jizan Bayesh, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Kaec Train Station, SA",1_day,Train,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Khamis Musyet, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Medinah Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Haramain Madinah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Madinah 2Nd Ring Road, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Madinah Hijrah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Madinah - Azizyiah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Madinah SA Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Madinah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Haramain Makkah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Makkah, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Qaisumah Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Qunfudah Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Rabigh Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh Airport, SA",1_day,Airport,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh International Airport T1, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh - Al-Salam, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh - At Your Door Service, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh - Namar, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh Al Suwaidi, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh King Abdullah Road, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh Oruba Bd, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh- Al Mansoura, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Wadi Laban Bd, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"King Abdullah Road Mursalath, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh Hilton Hotel, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh Olaya Hilton, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh SA Downtown, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh-Badiya, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Riyadh-Yasmin, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
Budget Saudi,"Tabuk Olaya Bd, SA",1_day,Downtown,toyota corolla,Basic Seedan,198.38,No
